IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.175.189,2053,2053,true,SIN,Asia Pacific,Singapore,46,11.79
8.219.106.15,8880,8880,false,SIN,Asia Pacific,Singapore,11,11.79
8.219.137.50,443,443,true,SIN,Asia Pacific,Singapore,86,11.79
47.245.58.250,8880,8880,false,NRT,Asia Pacific,Tokyo,74,11.79
8.222.221.90,2095,2095,false,SIN,Asia Pacific,Singapore,10,11.79
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,23,11.78
47.245.34.36,2052,2052,false,LAX,North America,Los Angeles,174,11.78
8.219.163.195,2087,2087,true,SIN,Asia Pacific,Singapore,65,11.78
8.219.201.8,2053,2053,true,SIN,Asia Pacific,Singapore,91,11.78
8.219.248.170,2086,2086,false,SIN,Asia Pacific,Singapore,9,11.78
47.245.53.50,2053,2053,true,LAX,North America,Los Angeles,302,11.78
8.222.212.116,80,80,false,SIN,Asia Pacific,Singapore,5,11.78
47.236.123.133,8443,8443,true,SIN,Asia Pacific,Singapore,128,11.77
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,50,11.77
8.222.223.34,2082,2082,false,SIN,Asia Pacific,Singapore,4,11.77
47.74.36.154,2096,2096,true,HKG,Asia Pacific,Hong Kong,163,11.77
8.219.253.18,2086,2086,false,SIN,Asia Pacific,Singapore,31,11.77
47.74.43.229,80,80,false,HKG,Asia Pacific,Hong Kong,159,11.76
47.245.37.89,8080,8080,false,LAX,North America,Los Angeles,178,11.76
8.209.246.24,2052,2052,false,NRT,Asia Pacific,Tokyo,81,11.75
8.219.238.145,2086,2086,false,SIN,Asia Pacific,Singapore,11,11.75
47.236.7.246,80,80,false,SIN,Asia Pacific,Singapore,15,11.75
47.74.32.94,8880,8880,false,NRT,Asia Pacific,Tokyo,100,11.75
8.219.163.195,8443,8443,true,SIN,Asia Pacific,Singapore,111,11.75
47.236.106.37,2053,2053,true,SIN,Asia Pacific,Singapore,85,11.75
8.219.107.135,2086,2086,false,SIN,Asia Pacific,Singapore,14,11.75
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,69,11.75
47.236.163.221,2095,2095,false,SIN,Asia Pacific,Singapore,22,11.75
8.219.173.233,2087,2087,true,SIN,Asia Pacific,Singapore,117,11.75
8.219.145.245,443,443,true,SIN,Asia Pacific,Singapore,116,11.75
47.245.15.39,2052,2052,false,NRT,Asia Pacific,Tokyo,78,11.74
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,42,11.74
8.222.154.227,2053,2053,true,SIN,Asia Pacific,Singapore,131,11.74
8.219.228.30,2086,2086,false,SIN,Asia Pacific,Singapore,17,11.74
8.219.6.187,2082,2082,false,SIN,Asia Pacific,Singapore,54,11.74
47.236.83.196,2086,2086,false,SIN,Asia Pacific,Singapore,9,11.74
47.245.105.224,2086,2086,false,SIN,Asia Pacific,Singapore,5,11.74
47.245.10.164,2053,2053,true,LAX,North America,Los Angeles,284,11.74
8.219.103.126,2083,2083,true,SIN,Asia Pacific,Singapore,113,11.73
47.74.16.67,2052,2052,false,LAX,North America,Los Angeles,185,11.73
8.219.228.30,8080,8080,false,SIN,Asia Pacific,Singapore,28,11.73
47.74.34.162,8443,8443,true,LAX,North America,Los Angeles,203,11.73
47.245.37.29,80,80,false,LAX,North America,Los Angeles,168,11.72
8.209.248.161,2053,2053,true,LAX,North America,Los Angeles,247,11.72
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,14,11.72
47.245.59.133,2096,2096,true,LAX,North America,Los Angeles,321,11.72
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,183,11.72
8.219.206.180,2087,2087,true,SIN,Asia Pacific,Singapore,135,11.72
47.74.2.97,8080,8080,false,LAX,North America,Los Angeles,176,11.72
8.219.196.24,80,80,false,SIN,Asia Pacific,Singapore,3,11.72
8.222.223.34,2087,2087,true,SIN,Asia Pacific,Singapore,137,11.72
47.245.9.228,2052,2052,false,LAX,North America,Los Angeles,185,11.72
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,5,11.72
8.219.40.255,2052,0,false,SIN,Asia Pacific,Singapore,5,11.71
8.219.200.145,2087,2087,true,SIN,Asia Pacific,Singapore,65,11.71
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.71
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,110,11.71
8.219.173.195,8443,8443,true,SIN,Asia Pacific,Singapore,55,11.70
47.245.4.22,8880,8880,false,HKG,Asia Pacific,Hong Kong,151,11.69
8.219.121.24,2096,2096,true,SIN,Asia Pacific,Singapore,118,11.69
8.219.174.142,8443,8443,true,SIN,Asia Pacific,Singapore,51,11.69
47.236.148.174,2087,2087,true,SIN,Asia Pacific,Singapore,101,11.69
47.74.41.136,2086,2086,false,NRT,Asia Pacific,Tokyo,72,11.69
47.91.2.165,8880,8880,false,SIN,Asia Pacific,Singapore,243,11.68
47.245.32.215,8080,8080,false,LAX,North America,Los Angeles,170,11.68
8.218.119.115,2052,2052,false,HKG,Asia Pacific,Hong Kong,53,11.68
8.222.169.182,2053,2053,true,SIN,Asia Pacific,Singapore,95,11.68
8.219.236.8,2095,2095,false,SIN,Asia Pacific,Singapore,50,11.68
8.219.152.195,8880,8880,false,SIN,Asia Pacific,Singapore,13,11.68
8.219.159.232,2087,2087,true,SIN,Asia Pacific,Singapore,112,11.68
8.219.111.147,8880,8880,false,SIN,Asia Pacific,Singapore,15,11.68
8.222.219.252,2053,2053,true,SIN,Asia Pacific,Singapore,114,11.68
47.74.11.45,2087,2087,true,HKG,Asia Pacific,Hong Kong,157,11.67
8.219.173.195,2083,2083,true,SIN,Asia Pacific,Singapore,78,11.67
47.74.15.120,8880,8880,false,LAX,North America,Los Angeles,200,11.67
47.236.88.181,2083,2083,true,SIN,Asia Pacific,Singapore,179,11.67
47.245.10.77,2095,2095,false,LAX,North America,Los Angeles,184,11.67
8.222.210.182,8080,8080,false,SIN,Asia Pacific,Singapore,4,11.67
8.219.178.225,8880,8880,false,SIN,Asia Pacific,Singapore,4,11.67
8.219.201.245,2096,2096,true,SIN,Asia Pacific,Singapore,95,11.67
47.236.116.26,2095,2095,false,SIN,Asia Pacific,Singapore,17,11.67
47.74.13.66,2086,2086,false,LAX,North America,Los Angeles,173,11.66
8.219.113.232,2087,2087,true,SIN,Asia Pacific,Singapore,127,11.66
8.219.245.232,8080,8080,false,SIN,Asia Pacific,Singapore,20,11.66
47.74.26.132,2086,2086,false,LAX,North America,Los Angeles,180,11.66
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,17,11.66
47.245.11.62,2096,2096,true,NRT,Asia Pacific,Tokyo,136,11.65
47.236.94.113,2096,2096,true,SIN,Asia Pacific,Singapore,107,11.65
8.219.151.193,2052,2052,false,SIN,Asia Pacific,Singapore,19,11.65
47.236.161.155,2087,2087,true,SIN,Asia Pacific,Singapore,95,11.65
8.209.222.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,151,11.65
8.219.70.117,2052,2052,false,SIN,Asia Pacific,Singapore,19,11.65
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,23,11.64
47.74.43.229,2052,2052,false,HKG,Asia Pacific,Hong Kong,154,11.64
8.219.121.24,2083,2083,true,SIN,Asia Pacific,Singapore,91,11.64
47.236.79.77,8080,8080,false,SIN,Asia Pacific,Singapore,14,11.64
47.245.59.188,8880,8880,false,NRT,Asia Pacific,Tokyo,71,11.64
47.74.54.33,2086,2086,false,LAX,North America,Los Angeles,177,11.64
8.219.84.214,2083,2083,true,SIN,Asia Pacific,Singapore,114,11.64
47.74.3.2,2095,2095,false,LAX,North America,Los Angeles,179,11.64
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,126,11.64
8.219.106.15,2052,2052,false,SIN,Asia Pacific,Singapore,13,11.64
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,9,11.64
47.245.41.69,2082,2082,false,HKG,Asia Pacific,Hong Kong,160,11.64
8.222.211.16,8880,8880,false,SIN,Asia Pacific,Singapore,6,11.63
8.222.212.219,2053,2053,true,SIN,Asia Pacific,Singapore,87,11.63
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,44,11.63
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,10,11.63
8.219.0.162,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.63
8.222.198.105,2096,2096,true,SIN,Asia Pacific,Singapore,119,11.63
8.222.169.182,80,80,false,SIN,Asia Pacific,Singapore,4,11.63
8.219.198.34,2083,2083,true,SIN,Asia Pacific,Singapore,203,11.63
47.74.27.211,8080,8080,false,NRT,Asia Pacific,Tokyo,71,11.63
8.219.77.222,2082,2082,false,SIN,Asia Pacific,Singapore,4,11.63
47.245.56.29,80,80,false,NRT,Asia Pacific,Tokyo,80,11.62
47.74.54.33,2052,2052,false,LAX,North America,Los Angeles,173,11.62
8.219.90.87,8880,8880,false,SIN,Asia Pacific,Singapore,14,11.62
47.245.59.243,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.62
47.74.34.135,80,80,false,NRT,Asia Pacific,Tokyo,68,11.62
8.219.113.27,2082,2082,false,SIN,Asia Pacific,Singapore,13,11.62
8.219.142.191,80,80,false,SIN,Asia Pacific,Singapore,16,11.62
47.74.11.48,2086,2086,false,LAX,North America,Los Angeles,176,11.62
47.91.21.127,8443,8443,true,NRT,Asia Pacific,Tokyo,157,11.61
47.245.57.109,2086,2086,false,LAX,North America,Los Angeles,179,11.61
8.219.220.88,2087,2087,true,SIN,Asia Pacific,Singapore,130,11.61
47.245.52.165,8880,8880,false,LAX,North America,Los Angeles,190,11.61
47.74.10.135,2086,2086,false,SIN,Asia Pacific,Singapore,152,11.61
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,14,11.60
47.74.5.150,2086,2086,false,LAX,North America,Los Angeles,190,11.60
8.219.173.239,2095,2095,false,SIN,Asia Pacific,Singapore,11,11.60
47.236.7.246,2083,2083,true,SIN,Asia Pacific,Singapore,117,11.60
47.74.18.121,80,80,false,LAX,North America,Los Angeles,183,11.60
8.219.173.239,8443,8443,true,SIN,Asia Pacific,Singapore,87,11.60
47.245.12.179,2086,2086,false,LAX,North America,Los Angeles,176,11.60
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,205,11.60
8.219.170.223,2053,2053,true,SIN,Asia Pacific,Singapore,38,11.60
8.222.164.44,2053,2053,true,SIN,Asia Pacific,Singapore,56,11.60
47.245.10.123,2095,2095,false,LAX,North America,Los Angeles,183,11.59
47.236.169.164,8080,8080,false,SIN,Asia Pacific,Singapore,12,11.59
47.245.10.123,2052,2052,false,LAX,North America,Los Angeles,178,11.59
47.245.10.164,8080,8080,false,LAX,North America,Los Angeles,172,11.59
47.74.11.9,2053,2053,true,NRT,Asia Pacific,Tokyo,205,11.59
8.219.0.162,2083,2083,true,SIN,Asia Pacific,Singapore,5,11.59
47.245.40.55,2082,2082,false,HKG,Asia Pacific,Hong Kong,164,11.59
47.245.115.6,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.59
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,142,11.58
8.219.92.89,2052,2052,false,SIN,Asia Pacific,Singapore,13,11.58
47.236.125.62,80,80,false,LAX,North America,Los Angeles,208,11.58
8.209.243.137,2086,2086,false,LAX,North America,Los Angeles,180,11.58
47.74.16.67,2096,2096,true,LAX,North America,Los Angeles,277,11.58
47.74.5.233,2086,2086,false,HKG,Asia Pacific,Hong Kong,148,11.58
8.219.245.187,8080,8080,false,SIN,Asia Pacific,Singapore,32,11.58
8.219.113.27,8443,8443,true,SIN,Asia Pacific,Singapore,161,11.58
8.219.238.145,2053,2053,true,SIN,Asia Pacific,Singapore,158,11.58
47.245.87.167,2087,2087,true,SIN,Asia Pacific,Singapore,75,11.58
47.74.36.154,2086,2086,false,HKG,Asia Pacific,Hong Kong,160,11.57
47.236.166.184,2053,2053,true,SIN,Asia Pacific,Singapore,146,11.57
47.245.82.78,2086,2086,false,SIN,Asia Pacific,Singapore,5,11.57
47.236.82.218,8880,8880,false,SIN,Asia Pacific,Singapore,12,11.57
47.74.18.121,2095,2095,false,LAX,North America,Los Angeles,187,11.56
47.245.113.12,8080,8080,false,SIN,Asia Pacific,Singapore,6,11.56
8.219.185.191,8880,8880,false,SIN,Asia Pacific,Singapore,15,11.56
8.219.101.72,2086,2086,false,SIN,Asia Pacific,Singapore,8,11.56
47.245.108.213,2052,2052,false,SIN,Asia Pacific,Singapore,6,11.56
47.245.42.162,2082,2082,false,LAX,North America,Los Angeles,180,11.56
47.74.10.135,80,80,false,SIN,Asia Pacific,Singapore,161,11.56
8.219.74.35,8080,8080,false,SIN,Asia Pacific,Singapore,11,11.56
8.222.244.123,2087,2087,true,SIN,Asia Pacific,Singapore,97,11.56
47.245.10.156,2082,2082,false,LAX,North America,Los Angeles,176,11.55
47.245.59.188,2052,2052,false,NRT,Asia Pacific,Tokyo,148,11.55
8.222.197.251,80,80,false,SIN,Asia Pacific,Singapore,4,11.55
47.74.23.99,2087,2087,true,NRT,Asia Pacific,Tokyo,127,11.55
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,82,11.55
47.245.59.188,2086,2086,false,NRT,Asia Pacific,Tokyo,77,11.55
8.219.65.191,80,80,false,SIN,Asia Pacific,Singapore,16,11.55
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,35,11.54
47.245.32.215,80,80,false,LAX,North America,Los Angeles,177,11.54
8.219.201.245,2053,2053,true,SIN,Asia Pacific,Singapore,120,11.54
8.219.101.138,8080,8080,false,SIN,Asia Pacific,Singapore,3,11.54
47.245.6.9,2052,2052,false,HKG,Asia Pacific,Hong Kong,151,11.54
8.222.255.15,2096,2096,true,SIN,Asia Pacific,Singapore,94,11.54
47.74.5.233,80,80,false,LAX,North America,Los Angeles,188,11.53
47.245.59.133,80,80,false,LAX,North America,Los Angeles,176,11.53
8.219.151.193,2096,2096,true,SIN,Asia Pacific,Singapore,120,11.53
47.74.5.99,2095,2095,false,LAX,North America,Los Angeles,177,11.53
47.74.13.239,2053,2053,true,NRT,Asia Pacific,Tokyo,128,11.52
47.245.86.230,8080,8080,false,SIN,Asia Pacific,Singapore,8,11.52
47.245.4.219,2095,2095,false,NRT,Asia Pacific,Tokyo,82,11.52
47.245.12.38,8880,8880,false,LAX,North America,Los Angeles,185,11.52
8.219.84.214,8880,8880,false,SIN,Asia Pacific,Singapore,5,11.52
8.219.140.63,2053,2053,true,SIN,Asia Pacific,Singapore,122,11.52
8.217.248.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,77,11.52
8.219.228.186,80,80,false,SIN,Asia Pacific,Singapore,60,11.51
47.236.106.37,2082,2082,false,SIN,Asia Pacific,Singapore,26,11.50
8.219.184.92,2095,2095,false,SIN,Asia Pacific,Singapore,6,11.50
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,23,11.50
47.74.35.51,2082,2082,false,HKG,Asia Pacific,Hong Kong,147,11.50
8.219.111.175,2096,2096,true,SIN,Asia Pacific,Singapore,105,11.50
8.222.221.90,80,80,false,SIN,Asia Pacific,Singapore,23,11.50
8.222.153.11,2087,2087,true,LAX,North America,Los Angeles,253,11.50
8.222.249.98,443,443,true,SIN,Asia Pacific,Singapore,45,11.50
8.219.104.242,2082,2082,false,SIN,Asia Pacific,Singapore,4,11.49
47.245.12.38,2086,2086,false,SIN,Asia Pacific,Singapore,159,11.49
8.222.221.86,2096,2096,true,SIN,Asia Pacific,Singapore,16,11.49
8.219.159.232,2096,2096,true,SIN,Asia Pacific,Singapore,144,11.49
47.74.13.200,8880,8880,false,HKG,Asia Pacific,Hong Kong,162,11.49
47.74.49.62,2086,2086,false,LAX,North America,Los Angeles,181,11.49
47.236.150.13,2086,2086,false,SIN,Asia Pacific,Singapore,7,11.48
47.74.4.47,2082,2082,false,LAX,North America,Los Angeles,180,11.48
47.245.102.156,2086,2086,false,SIN,Asia Pacific,Singapore,22,11.48
8.219.114.201,2095,2095,false,SIN,Asia Pacific,Singapore,8,11.47
8.222.144.117,8443,8443,true,SIN,Asia Pacific,Singapore,51,11.47
47.74.13.66,80,80,false,HKG,Asia Pacific,Hong Kong,165,11.47
8.222.214.231,2095,2095,false,SIN,Asia Pacific,Singapore,25,11.47
47.74.34.162,8880,8880,false,LAX,North America,Los Angeles,185,11.47
8.222.238.141,2083,2083,true,SIN,Asia Pacific,Singapore,98,11.47
47.245.54.197,2095,2095,false,LAX,North America,Los Angeles,187,11.47
8.219.141.174,443,443,true,SIN,Asia Pacific,Singapore,115,11.47
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,20,11.47
