IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.189.173,2082,2082,false,SIN,Asia Pacific,Singapore,57,12.02
8.219.167.113,2082,2082,false,SIN,Asia Pacific,Singapore,17,12.02
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,20,12.02
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,9,12.01
47.236.176.144,2096,2096,true,SIN,Asia Pacific,Singapore,87,12.01
8.222.254.91,80,80,false,SIN,Asia Pacific,Singapore,5,12.01
8.219.111.175,8880,8880,false,SIN,Asia Pacific,Singapore,35,12.01
47.236.144.156,2053,2053,true,SIN,Asia Pacific,Singapore,159,12.01
8.219.238.145,443,443,true,SIN,Asia Pacific,Singapore,73,12.01
8.222.211.124,8443,8443,true,SIN,Asia Pacific,Singapore,90,12.01
8.219.167.113,2087,2087,true,SIN,Asia Pacific,Singapore,103,12.01
47.245.57.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,246,12.01
47.245.94.144,2083,2083,true,SIN,Asia Pacific,Singapore,103,12.01
47.245.54.197,2052,2052,false,HKG,Asia Pacific,Hong Kong,165,12.00
47.236.114.23,80,80,false,SIN,Asia Pacific,Singapore,52,12.00
47.245.52.240,2052,2052,false,NRT,Asia Pacific,Tokyo,78,12.00
47.245.33.163,8880,8880,false,NRT,Asia Pacific,Tokyo,86,12.00
8.219.230.254,2087,2087,true,SIN,Asia Pacific,Singapore,236,12.00
8.222.219.34,8443,8443,true,SIN,Asia Pacific,Singapore,98,11.99
8.219.194.170,2086,0,false,SIN,Asia Pacific,Singapore,4,11.99
8.219.184.92,2087,2087,true,SIN,Asia Pacific,Singapore,121,11.99
8.222.136.196,2083,2083,true,SIN,Asia Pacific,Singapore,98,11.98
47.245.54.140,2095,2095,false,NRT,Asia Pacific,Tokyo,80,11.98
8.222.252.150,2087,2087,true,SIN,Asia Pacific,Singapore,139,11.98
8.219.101.138,2086,2086,false,SIN,Asia Pacific,Singapore,12,11.98
47.245.32.215,2096,2096,true,LAX,North America,Los Angeles,213,11.98
8.219.145.245,2082,2082,false,SIN,Asia Pacific,Singapore,7,11.98
8.219.86.200,2053,2053,true,SIN,Asia Pacific,Singapore,106,11.97
47.74.34.162,2052,2052,false,HKG,Asia Pacific,Hong Kong,155,11.97
8.222.221.86,2087,2087,true,SIN,Asia Pacific,Singapore,87,11.97
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,172,11.97
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,15,11.97
47.74.54.33,2082,2082,false,LAX,North America,Los Angeles,179,11.96
8.222.145.110,8443,8443,true,SIN,Asia Pacific,Singapore,61,11.96
47.91.14.47,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.96
47.74.11.48,8080,8080,false,LAX,North America,Los Angeles,187,11.96
47.91.3.135,2095,2095,false,LAX,North America,Los Angeles,183,11.95
8.219.222.8,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.95
8.219.84.214,2087,2087,true,SIN,Asia Pacific,Singapore,125,11.95
8.219.253.114,2087,2087,true,SIN,Asia Pacific,Singapore,107,11.95
8.219.101.72,2096,2096,true,SIN,Asia Pacific,Singapore,141,11.95
47.245.9.228,2086,2086,false,LAX,North America,Los Angeles,190,11.95
47.245.55.94,2086,2086,false,LAX,North America,Los Angeles,201,11.95
47.245.26.167,2052,2052,false,LAX,North America,Los Angeles,184,11.94
47.245.14.216,2095,2095,false,LAX,North America,Los Angeles,170,11.94
47.91.3.112,8080,8080,false,LAX,North America,Los Angeles,191,11.94
47.245.108.213,2053,2053,true,SIN,Asia Pacific,Singapore,58,11.94
8.219.90.196,2087,2087,true,SIN,Asia Pacific,Singapore,89,11.94
8.219.40.37,2053,2053,true,SIN,Asia Pacific,Singapore,6,11.94
8.219.206.180,2082,2082,false,SIN,Asia Pacific,Singapore,6,11.93
47.74.42.17,2082,2082,false,LAX,North America,Los Angeles,188,11.93
8.222.180.242,80,80,false,SIN,Asia Pacific,Singapore,16,11.93
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,21,11.93
47.245.54.58,80,80,false,NRT,Asia Pacific,Tokyo,76,11.93
47.74.14.85,8443,8443,true,LAX,North America,Los Angeles,287,11.93
47.236.114.23,2087,2087,true,SIN,Asia Pacific,Singapore,64,11.93
8.219.107.135,2096,2096,true,SIN,Asia Pacific,Singapore,130,11.92
8.219.93.85,2053,2053,true,SIN,Asia Pacific,Singapore,113,11.92
8.219.87.34,2096,2096,true,SIN,Asia Pacific,Singapore,90,11.92
47.91.3.179,2096,2096,true,LAX,North America,Los Angeles,205,11.92
8.219.124.227,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.92
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,76,11.92
47.236.106.37,2087,2087,true,SIN,Asia Pacific,Singapore,63,11.92
47.91.22.115,2083,2083,true,NRT,Asia Pacific,Tokyo,139,11.92
47.74.27.94,2052,2052,false,LAX,North America,Los Angeles,175,11.92
47.245.54.58,2086,2086,false,NRT,Asia Pacific,Tokyo,96,11.92
8.219.103.57,8443,8443,true,SIN,Asia Pacific,Singapore,182,11.92
47.245.41.69,2052,2052,false,LAX,North America,Los Angeles,181,11.92
47.245.29.126,2095,2095,false,LAX,North America,Los Angeles,184,11.91
47.91.21.149,8880,8880,false,LAX,North America,Los Angeles,174,11.91
8.219.134.63,2083,2083,true,SIN,Asia Pacific,Singapore,102,11.91
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,96,11.91
8.219.250.239,8443,8443,true,SIN,Asia Pacific,Singapore,126,11.90
8.219.83.201,8080,8080,false,SIN,Asia Pacific,Singapore,12,11.90
8.222.221.109,2053,2053,true,SIN,Asia Pacific,Singapore,91,11.90
47.245.54.58,2082,2082,false,NRT,Asia Pacific,Tokyo,76,11.90
8.219.134.117,2095,2095,false,SIN,Asia Pacific,Singapore,32,11.90
8.218.110.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,100,11.90
47.245.33.163,8443,8443,true,NRT,Asia Pacific,Tokyo,87,11.90
47.74.43.229,8080,8080,false,HKG,Asia Pacific,Hong Kong,152,11.89
8.222.187.4,8080,8080,false,SIN,Asia Pacific,Singapore,8,11.89
47.236.150.109,2096,2096,true,SIN,Asia Pacific,Singapore,112,11.89
8.219.73.188,8080,8080,false,SIN,Asia Pacific,Singapore,15,11.89
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,7,11.88
47.74.37.50,2082,2082,false,LAX,North America,Los Angeles,168,11.88
47.245.30.208,2082,2082,false,LAX,North America,Los Angeles,176,11.88
8.222.130.137,2083,2083,true,SIN,Asia Pacific,Singapore,109,11.88
8.219.140.229,2053,2053,true,SIN,Asia Pacific,Singapore,116,11.88
8.222.211.124,2083,2083,true,SIN,Asia Pacific,Singapore,131,11.88
47.245.56.207,2052,2052,false,NRT,Asia Pacific,Tokyo,102,11.88
8.222.224.162,2082,2082,false,SIN,Asia Pacific,Singapore,15,11.88
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,66,11.87
47.236.76.199,2052,2052,false,SIN,Asia Pacific,Singapore,17,11.87
47.74.52.104,80,80,false,HKG,Asia Pacific,Hong Kong,166,11.87
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,100,11.87
8.222.188.56,2096,2096,true,SIN,Asia Pacific,Singapore,58,11.87
8.219.126.240,8080,8080,false,SIN,Asia Pacific,Singapore,8,11.87
8.219.153.44,2087,2087,true,SIN,Asia Pacific,Singapore,98,11.87
47.245.94.144,8443,8443,true,SIN,Asia Pacific,Singapore,163,11.87
8.209.243.137,8443,8443,true,LAX,North America,Los Angeles,197,11.86
47.74.8.238,2095,2095,false,HKG,Asia Pacific,Hong Kong,160,11.86
47.74.6.16,2082,2082,false,SIN,Asia Pacific,Singapore,156,11.86
47.245.9.99,2083,2083,true,NRT,Asia Pacific,Tokyo,151,11.86
8.222.227.191,2095,2095,false,SIN,Asia Pacific,Singapore,8,11.86
47.236.148.174,8080,8080,false,SIN,Asia Pacific,Singapore,7,11.86
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,43,11.85
8.222.187.107,2096,2096,true,SIN,Asia Pacific,Singapore,123,11.85
8.219.167.65,2096,2096,true,SIN,Asia Pacific,Singapore,83,11.85
47.245.37.41,8443,8443,true,NRT,Asia Pacific,Tokyo,123,11.85
8.218.85.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,11.85
47.74.8.238,80,80,false,LAX,North America,Los Angeles,170,11.84
47.74.12.139,2053,2053,true,LAX,North America,Los Angeles,242,11.84
8.222.187.4,2086,2086,false,SIN,Asia Pacific,Singapore,15,11.84
47.236.114.167,8080,8080,false,SIN,Asia Pacific,Singapore,24,11.84
47.74.50.249,8080,8080,false,LAX,North America,Los Angeles,182,11.84
8.219.134.63,8080,8080,false,SIN,Asia Pacific,Singapore,9,11.83
8.219.240.141,2086,2086,false,SIN,Asia Pacific,Singapore,14,11.83
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,61,11.83
47.91.21.127,2087,2087,true,NRT,Asia Pacific,Tokyo,164,11.83
8.222.238.141,2095,2095,false,SIN,Asia Pacific,Singapore,10,11.83
8.219.249.148,2053,2053,true,SIN,Asia Pacific,Singapore,87,11.83
47.245.54.197,2083,2083,true,LAX,North America,Los Angeles,283,11.83
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,4,11.83
47.74.11.9,2096,2096,true,NRT,Asia Pacific,Tokyo,156,11.83
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,30,11.83
8.222.236.229,2082,2082,false,SIN,Asia Pacific,Singapore,7,11.83
47.245.11.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,159,11.82
47.236.114.167,2086,2086,false,SIN,Asia Pacific,Singapore,38,11.82
47.245.37.98,8880,8880,false,LAX,North America,Los Angeles,191,11.82
8.219.113.232,8080,8080,false,SIN,Asia Pacific,Singapore,4,11.81
47.91.14.69,8880,8880,false,HKG,Asia Pacific,Hong Kong,200,11.81
8.219.198.34,2095,2095,false,SIN,Asia Pacific,Singapore,4,11.81
8.218.201.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,11.81
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,15,11.81
47.245.11.118,8880,8880,false,LAX,North America,Los Angeles,173,11.81
47.245.59.188,2082,2082,false,NRT,Asia Pacific,Tokyo,75,11.81
8.219.77.91,2082,2082,false,SIN,Asia Pacific,Singapore,14,11.81
8.219.111.175,443,443,true,SIN,Asia Pacific,Singapore,117,11.81
47.236.123.218,2086,2086,false,SIN,Asia Pacific,Singapore,25,11.80
47.74.11.100,2096,2096,true,NRT,Asia Pacific,Tokyo,169,11.80
47.74.16.67,2052,2052,false,LAX,North America,Los Angeles,170,11.79
8.219.74.35,2082,2082,false,SIN,Asia Pacific,Singapore,18,11.79
