IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.187.105,443,443,true,AMS,Europe,Amsterdam,191,9.22
34.118.63.214,443,443,true,FRA,Europe,Frankfurt,185,9.21
34.159.28.199,443,443,true,FRA,Europe,Frankfurt,157,9.21
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,252,9.21
34.154.244.251,443,443,true,FRA,Europe,Frankfurt,163,9.21
34.116.238.113,443,443,true,AMS,Europe,Amsterdam,252,9.20
34.66.72.229,443,443,true,ORD,North America,Chicago,206,9.20
34.118.20.192,443,443,true,FRA,Europe,Frankfurt,191,9.20
34.65.163.137,443,443,true,FRA,Europe,Frankfurt,220,9.19
34.65.192.88,443,443,true,FRA,Europe,Frankfurt,175,9.19
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,174,9.18
34.118.91.209,443,443,true,FRA,Europe,Frankfurt,189,9.16
34.118.10.184,443,443,true,FRA,Europe,Frankfurt,187,9.10
34.123.83.237,443,443,true,ORD,North America,Chicago,205,9.08
34.116.238.113,443,443,true,FRA,Europe,Frankfurt,200,9.06
34.65.85.72,443,443,true,FRA,Europe,Frankfurt,178,9.05
34.118.57.86,443,443,true,FRA,Europe,Frankfurt,201,9.04
34.34.24.99,443,443,true,FRA,Europe,Frankfurt,174,9.03
34.159.237.42,443,443,true,FRA,Europe,Frankfurt,154,9.03
35.226.211.129,443,443,true,ORD,North America,Chicago,224,9.03
34.41.252.92,443,443,true,ORD,North America,Chicago,206,9.02
34.29.228.169,443,443,true,ORD,North America,Chicago,206,9.01
34.72.146.82,443,443,true,ORD,North America,Chicago,205,9.01
34.65.187.42,443,443,true,FRA,Europe,Frankfurt,176,9.00
34.123.83.237,443,443,true,ORD,North America,Chicago,204,9.00
34.29.228.169,443,443,true,ORD,North America,Chicago,205,8.99
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.99
34.65.48.167,443,443,true,FRA,Europe,Frankfurt,176,8.99
34.41.252.92,443,443,true,ORD,North America,Chicago,283,8.99
34.69.150.180,443,443,true,ORD,North America,Chicago,208,8.98
34.147.50.238,443,443,true,FRA,Europe,Frankfurt,181,8.97
34.65.9.155,443,443,true,FRA,Europe,Frankfurt,178,8.97
34.118.49.153,443,443,true,FRA,Europe,Frankfurt,188,8.94
34.159.73.243,443,443,true,FRA,Europe,Frankfurt,154,8.94
34.150.180.124,443,443,true,IAD,North America,Ashburn,210,8.93
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,285,8.92
34.65.7.113,443,443,true,FRA,Europe,Frankfurt,185,8.91
34.65.27.74,443,443,true,FRA,Europe,Frankfurt,177,8.91
34.145.152.237,443,443,true,IAD,North America,Ashburn,220,8.90
34.65.97.221,443,443,true,FRA,Europe,Frankfurt,190,8.90
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,176,8.90
34.122.12.237,443,443,true,ORD,North America,Chicago,258,8.89
34.118.68.210,443,443,true,FRA,Europe,Frankfurt,193,8.88
34.150.133.11,443,443,true,IAD,North America,Ashburn,211,8.87
35.224.40.99,443,443,true,ORD,North America,Chicago,205,8.86
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,190,8.85
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,274,8.84
34.145.145.76,443,443,true,IAD,North America,Ashburn,211,8.83
34.65.24.163,443,443,true,FRA,Europe,Frankfurt,178,8.82
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,187,8.79
34.65.231.140,443,443,true,FRA,Europe,Frankfurt,162,8.79
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,186,8.79
34.118.102.243,443,443,true,FRA,Europe,Frankfurt,215,8.78
34.65.73.241,443,443,true,FRA,Europe,Frankfurt,186,8.78
34.116.140.78,443,443,true,FRA,Europe,Frankfurt,280,8.77
34.118.81.8,443,443,true,FRA,Europe,Frankfurt,188,8.77
